iter	Passed	Remaining
0	148	147859
1	149	74533
2	150	50118
3	152	37885
4	153	30577
5	154	25670
6	156	22159
7	157	19519
8	158	17497
9	160	15866
10	161	14517
11	162	13410
12	164	12473
13	165	11666
14	166	10964
15	168	10346
16	169	9807
17	170	9326
18	172	8897
19	173	8504
20	175	8163
21	176	7846
22	178	7562
23	179	7318
24	181	7076
25	182	6848
26	184	6636
27	185	6444
28	186	6260
29	188	6107
30	190	5952
31	192	5814
32	193	5670
33	194	5536
34	196	5415
35	197	5299
36	199	5190
37	200	5083
38	202	4986
39	203	4891
40	205	4797
41	206	4706
42	208	4633
43	209	4550
44	210	4471
45	211	4394
46	213	4338
47	215	4270
48	216	4202
49	217	4138
50	219	4080
51	220	4019
52	221	3961
53	222	3906
54	224	3856
55	225	3809
56	227	3762
57	228	3714
58	230	3668
59	231	3622
60	232	3578
61	233	3535
62	235	3497
63	236	3456
64	237	3417
65	239	3384
66	240	3350
67	241	3308
68	242	3274
69	243	3240
70	245	3206
71	246	3177
72	248	3150
73	249	3120
74	250	3090
75	251	3061
76	253	3035
77	254	3009
78	255	2984
79	257	2961
80	258	2936
81	260	2913
82	261	2888
83	262	2866
84	263	2839
85	265	2816
86	266	2791
87	267	2771
88	268	2752
89	270	2731
90	271	2710
91	272	2689
92	273	2669
93	275	2651
94	276	2633
95	277	2613
96	278	2596
97	280	2581
98	281	2565
99	283	2547
100	284	2530
101	284	2508
102	286	2494
103	287	2478
104	288	2462
105	290	2446
106	291	2432
107	293	2420
108	294	2406
109	295	2392
110	297	2378
111	298	2364
112	299	2350
113	300	2336
114	301	2324
115	303	2309
116	304	2296
117	305	2284
118	306	2272
119	308	2264
120	309	2251
121	311	2241
122	312	2225
123	313	2213
124	314	2202
125	315	2190
126	317	2179
127	317	2164
128	319	2154
129	320	2146
130	322	2138
131	323	2127
132	324	2117
133	326	2107
134	327	2097
135	328	2087
136	329	2077
137	330	2066
138	332	2057
139	333	2049
140	335	2041
141	336	2033
142	337	2024
143	339	2015
144	340	2006
145	341	1998
146	342	1989
147	344	1980
148	345	1973
149	346	1965
150	348	1958
151	350	1953
152	351	1945
153	352	1938
154	354	1931
155	355	1924
156	357	1919
157	359	1914
158	360	1909
159	362	1904
160	364	1897
161	365	1889
162	366	1881
163	367	1874
164	369	1868
165	370	1861
166	371	1853
167	373	1851
168	375	1845
169	376	1840
170	378	1833
171	379	1826
172	380	1819
173	382	1813
174	383	1806
175	384	1799
176	385	1794
177	387	1789
178	388	1783
179	390	1776
180	390	1768
181	392	1761
182	393	1755
183	394	1749
184	395	1743
185	396	1737
186	398	1731
187	399	1725
188	401	1721
189	402	1715
190	403	1709
191	404	1703
192	406	1697
193	407	1692
194	408	1687
195	409	1681
196	411	1676
197	412	1672
198	414	1668
199	415	1663
200	417	1658
201	418	1653
202	419	1647
203	420	1642
204	422	1636
205	423	1632
206	424	1627
207	426	1622
208	427	1619
209	429	1614
210	430	1609
211	431	1604
212	432	1599
213	434	1594
214	435	1590
215	436	1585
216	438	1581
217	439	1576
218	440	1572
219	442	1568
220	443	1563
221	444	1559
222	446	1555
223	448	1552
224	449	1548
225	450	1544
226	452	1539
227	453	1535
228	454	1531
229	456	1527
230	457	1523
231	458	1519
232	460	1516
233	461	1511
234	463	1507
235	464	1503
236	465	1498
237	466	1494
238	468	1491
239	469	1487
240	471	1483
241	472	1479
242	473	1475
243	474	1471
244	476	1467
245	477	1463
246	478	1459
247	480	1455
248	481	1453
249	483	1449
250	484	1445
251	485	1441
252	487	1438
253	488	1434
254	489	1430
255	490	1426
256	492	1422
257	493	1419
258	494	1415
259	496	1412
260	498	1410
261	499	1406
262	500	1403
263	502	1400
264	503	1397
265	505	1393
266	506	1389
267	507	1386
268	509	1384
269	511	1382
270	512	1378
271	513	1374
272	514	1371
273	516	1367
274	517	1363
275	518	1360
276	519	1356
277	521	1354
278	523	1352
279	524	1349
280	525	1345
281	527	1342
282	528	1338
283	529	1335
284	530	1331
285	532	1328
286	533	1325
287	536	1326
288	538	1325
289	539	1321
290	541	1318
291	542	1315
292	543	1312
293	545	1308
294	546	1305
295	548	1303
296	549	1301
297	551	1299
298	553	1296
299	554	1293
300	555	1290
301	556	1287
302	558	1284
303	559	1280
304	561	1279
305	563	1277
306	565	1275
307	566	1272
308	567	1269
309	569	1266
310	570	1263
311	571	1260
312	572	1257
313	574	1255
314	576	1252
315	577	1250
316	578	1247
317	580	1244
318	581	1241
319	582	1238
320	584	1235
321	585	1232
322	586	1229
323	588	1227
324	589	1224
325	591	1221
326	592	1219
327	593	1216
328	595	1213
329	597	1212
330	598	1209
331	600	1207
332	602	1206
333	603	1204
334	605	1201
335	606	1199
336	608	1196
337	609	1193
338	610	1191
339	612	1188
340	613	1185
341	614	1182
342	616	1180
343	617	1177
344	619	1175
345	620	1172
346	621	1169
347	622	1167
348	624	1164
349	625	1162
350	627	1160
351	628	1157
352	630	1155
353	631	1153
354	633	1150
355	634	1147
356	635	1144
357	637	1142
358	638	1139
359	639	1137
360	641	1134
361	642	1132
362	643	1129
363	645	1127
364	646	1124
365	648	1122
366	650	1121
367	652	1119
368	653	1117
369	654	1115
370	656	1112
371	657	1110
372	659	1108
373	660	1105
374	662	1104
375	664	1102
376	665	1099
377	666	1097
378	668	1095
379	670	1093
380	671	1090
381	672	1088
382	674	1087
383	676	1085
384	678	1083
385	679	1081
386	682	1080
387	683	1078
388	684	1075
389	686	1073
390	687	1071
391	689	1068
392	690	1066
393	691	1063
394	692	1060
395	694	1059
396	696	1057
397	697	1055
398	699	1053
399	701	1051
400	702	1049
401	704	1047
402	705	1044
403	707	1043
404	709	1041
405	710	1040
406	712	1037
407	713	1035
408	715	1033
409	716	1030
410	717	1028
411	718	1025
412	720	1023
413	721	1021
414	723	1019
415	724	1016
416	726	1015
417	727	1012
418	728	1010
419	729	1007
420	730	1005
421	732	1003
422	734	1001
423	735	999
424	737	997
425	738	995
426	740	993
427	741	990
428	742	988
429	744	986
430	746	985
431	747	982
432	748	980
433	750	978
434	751	976
435	753	974
436	754	971
437	755	969
438	756	967
439	759	966
440	760	963
441	761	961
442	763	960
443	765	958
444	766	955
445	767	953
446	768	951
447	770	949
448	771	947
449	773	945
450	774	942
451	776	941
452	777	939
453	779	936
454	780	934
455	781	932
456	783	930
457	784	928
458	786	927
459	788	925
460	789	923
461	791	921
462	792	919
463	794	917
464	795	915
465	797	913
466	799	911
467	800	909
468	802	908
469	803	906
470	804	903
471	805	901
472	807	899
473	808	897
474	810	895
475	812	894
476	813	892
477	815	890
478	816	888
479	817	886
480	819	883
481	821	882
482	822	880
483	823	878
484	825	876
485	827	874
486	828	872
487	830	870
488	831	869
489	833	867
490	834	865
491	835	863
492	837	861
493	839	859
494	841	858
495	842	856
496	844	854
497	845	852
498	846	850
499	848	848
500	849	846
501	851	844
502	852	842
503	854	840
504	855	838
505	856	836
506	858	834
507	859	832
508	860	830
509	861	828
510	863	826
511	865	824
512	866	822
513	868	820
514	869	818
515	871	817
516	872	815
517	873	813
518	875	811
519	877	809
520	878	807
521	879	805
522	881	803
523	882	801
524	884	799
525	885	797
526	886	795
527	888	793
528	890	792
529	891	790
530	893	788
531	894	787
532	896	785
533	897	783
534	899	781
535	900	779
536	901	777
537	903	775
538	904	773
539	906	771
540	907	770
541	909	768
542	910	766
543	912	764
544	913	762
545	914	760
546	916	758
547	917	756
548	919	755
549	920	753
550	921	751
551	923	749
552	924	747
553	925	745
554	927	743
555	928	741
556	929	739
557	931	738
558	933	736
559	936	735
560	937	733
561	938	731
562	940	729
563	941	728
564	943	726
565	944	724
566	946	722
567	947	720
568	949	719
569	951	717
570	952	715
571	954	714
572	956	712
573	958	711
574	960	709
575	961	708
576	963	706
577	965	705
578	968	704
579	971	703
580	973	701
581	975	700
582	977	699
583	978	697
584	980	695
585	982	694
586	984	692
587	986	691
588	987	689
589	990	688
590	992	686
591	993	684
592	996	683
593	997	681
594	998	679
595	1000	677
596	1001	675
597	1003	674
598	1004	672
599	1006	670
600	1007	669
601	1009	667
602	1011	666
603	1013	664
604	1015	662
605	1016	660
606	1017	658
607	1019	657
608	1020	655
609	1022	653
610	1023	651
611	1024	649
612	1026	648
613	1027	646
614	1029	644
615	1030	642
616	1032	640
617	1033	639
618	1035	637
619	1036	635
620	1037	633
621	1039	631
622	1040	629
623	1041	627
624	1043	625
625	1044	623
626	1045	621
627	1047	620
628	1048	618
629	1050	616
630	1051	615
631	1053	613
632	1054	611
633	1055	609
634	1056	607
635	1058	605
636	1059	604
637	1061	602
638	1062	600
639	1064	598
640	1065	596
641	1066	594
642	1067	592
643	1069	590
644	1070	589
645	1071	587
646	1072	585
647	1074	583
648	1075	581
649	1076	579
650	1078	577
651	1079	576
652	1080	574
653	1081	572
654	1082	570
655	1084	568
656	1085	566
657	1087	565
658	1089	563
659	1090	561
660	1091	559
661	1093	558
662	1094	556
663	1095	554
664	1097	552
665	1098	551
666	1100	549
667	1101	547
668	1103	545
669	1104	544
670	1106	542
671	1107	540
672	1108	538
673	1110	536
674	1111	535
675	1112	533
676	1114	531
677	1115	529
678	1117	528
679	1118	526
680	1119	524
681	1121	522
682	1122	520
683	1123	519
684	1124	517
685	1126	515
686	1127	513
687	1128	511
688	1130	510
689	1131	508
690	1132	506
691	1134	504
692	1135	503
693	1137	501
694	1138	499
695	1139	497
696	1141	496
697	1142	494
698	1144	492
699	1145	490
700	1146	489
701	1148	487
702	1149	485
703	1150	483
704	1151	482
705	1152	480
706	1154	478
707	1156	477
708	1157	475
709	1159	473
710	1160	471
711	1161	469
712	1163	468
713	1164	466
714	1165	464
715	1166	462
716	1168	461
717	1170	459
718	1172	458
719	1174	456
720	1175	454
721	1176	453
722	1177	451
723	1179	449
724	1180	447
725	1182	446
726	1183	444
727	1184	442
728	1186	441
729	1188	439
730	1189	437
731	1190	435
732	1191	434
733	1192	432
734	1194	430
735	1196	429
736	1198	427
737	1199	425
738	1201	424
739	1203	422
740	1204	421
741	1206	419
742	1207	417
743	1208	415
744	1210	414
745	1211	412
746	1213	410
747	1214	409
748	1216	407
749	1217	405
750	1218	404
751	1220	402
752	1221	400
753	1222	398
754	1224	397
755	1225	395
756	1226	393
757	1228	392
758	1229	390
759	1230	388
760	1232	387
761	1233	385
762	1234	383
763	1235	381
764	1237	380
765	1238	378
766	1239	376
767	1241	374
768	1243	373
769	1244	371
770	1245	369
771	1246	368
772	1247	366
773	1249	364
774	1250	362
775	1251	361
776	1252	359
777	1254	357
778	1255	356
779	1256	354
780	1258	352
781	1259	351
782	1260	349
783	1261	347
784	1263	345
785	1264	344
786	1265	342
787	1267	340
788	1268	339
789	1270	337
790	1271	335
791	1272	334
792	1273	332
793	1275	330
794	1276	329
795	1277	327
796	1278	325
797	1280	324
798	1281	322
799	1283	320
800	1284	319
801	1285	317
802	1286	315
803	1288	314
804	1289	312
805	1290	310
806	1292	309
807	1293	307
808	1294	305
809	1296	304
810	1297	302
811	1298	300
812	1299	299
813	1301	297
